math_enjoyment,programming_enjoyment,ui_design_enjoyment,logic_problem_solving,data_preference,cloud_infra_enjoyment,cybersecurity_enjoyment,statistics_comfort,debugging_enjoyment,build_vs_analyze,learning_time_commitment,programming_experience_level,education_background,work_style_preference,career_archetype,target_career
3.2,4.3,4.6,4.3,1.0,2.6,1.4,2.0,3.8,build_systems,10_to_20_hrs,basics,high_school,logic_architecture,creative_visual,frontend
2.3,4.3,3.9,3.5,2.7,2.7,1.5,1.9,4.0,build_systems,under_5_hrs,intermediate,cs_degree,visual_creative,creative_visual,frontend
1.8,4.9,4.6,4.3,1.6,2.4,2.6,1.6,3.0,build_user_facing,10_to_20_hrs,intermediate,self_taught,visual_creative,creative_visual,frontend
2.6,5.0,4.7,3.0,2.4,1.8,1.3,1.6,2.9,build_systems,5_to_10_hrs,intermediate,self_taught,visual_creative,balanced_generalist,frontend
1.8,4.9,4.3,3.5,2.2,1.5,3.0,1.5,4.4,build_user_facing,10_to_20_hrs,none,high_school,visual_creative,creative_visual,frontend
1.0,4.3,4.6,3.7,1.6,2.6,1.3,1.5,3.2,build_user_facing,10_to_20_hrs,basics,self_taught,logic_architecture,creative_visual,frontend
1.3,3.9,5.0,2.8,2.3,2.7,2.3,1.0,3.6,build_user_facing,20_plus_hrs,none,cs_degree,visual_creative,creative_visual,frontend
1.6,4.2,4.3,3.8,2.0,1.5,2.8,1.0,3.4,build_systems,under_5_hrs,basics,cs_degree,visual_creative,creative_visual,frontend
3.1,4.0,4.6,3.7,2.2,1.2,2.2,1.9,3.7,build_user_facing,10_to_20_hrs,basics,high_school,visual_creative,creative_visual,frontend
2.3,4.6,4.4,3.9,2.2,1.9,2.3,1.3,4.2,build_user_facing,5_to_10_hrs,intermediate,self_taught,visual_creative,creative_visual,frontend
2.6,4.5,4.7,3.6,1.7,1.5,2.3,1.0,4.3,build_systems,under_5_hrs,advanced,self_taught,visual_creative,creative_visual,frontend
2.7,3.8,4.4,3.3,2.4,3.7,1.6,2.8,4.1,build_user_facing,10_to_20_hrs,intermediate,cs_degree,visual_creative,creative_visual,frontend
1.9,4.3,4.4,3.3,1.9,1.5,3.8,1.0,3.5,build_user_facing,5_to_10_hrs,intermediate,high_school,visual_creative,creative_visual,frontend
2.5,4.4,4.2,3.7,1.8,2.4,1.3,1.8,4.7,build_user_facing,under_5_hrs,none,self_taught,visual_creative,creative_visual,frontend
2.7,4.6,4.5,3.1,4.0,1.4,1.0,3.0,4.1,build_user_facing,20_plus_hrs,intermediate,cs_degree,visual_creative,creative_visual,frontend
1.6,3.6,4.8,3.9,2.0,1.1,2.9,1.5,4.8,build_user_facing,10_to_20_hrs,none,non_cs_degree,logic_architecture,creative_visual,frontend
3.1,4.9,4.8,4.4,2.8,3.2,2.3,2.6,3.4,build_user_facing,10_to_20_hrs,basics,cs_degree,logic_architecture,balanced_generalist,frontend
1.0,4.4,4.3,4.0,3.5,2.4,2.7,1.4,3.3,build_user_facing,under_5_hrs,advanced,high_school,logic_architecture,balanced_generalist,frontend
2.0,3.6,4.2,4.5,1.3,2.6,3.0,3.1,3.0,build_user_facing,20_plus_hrs,advanced,non_cs_degree,visual_creative,creative_visual,frontend
2.1,4.8,4.9,3.3,2.6,1.6,2.2,2.6,3.8,build_user_facing,under_5_hrs,advanced,cs_degree,visual_creative,balanced_generalist,frontend
